DATE;IPG2211A2N
01/05/2004;89.3240
01/06/2004;95.8104
01/07/2004;102.1007
01/08/2004;100.4992
01/09/2004;94.2998
01/10/2004;87.7732
01/11/2004;89.8297
01/12/2004;105.9787
01/01/2005;111.4496
01/02/2005;101.9498
01/03/2005;99.2324
01/04/2005;86.6793
01/05/2005;87.3784
01/06/2005;99.7382
01/07/2005;108.8005
01/08/2005;109.9901
01/09/2005;99.5563
01/10/2005;90.1695
01/11/2005;90.6297
01/12/2005;108.4977
01/01/2006;104.8128
01/02/2006;101.6310
01/03/2006;98.6932
01/04/2006;87.7035
01/05/2006;90.2388
01/06/2006;100.7836
01/07/2006;111.3696
01/08/2006;111.9898
01/09/2006;96.1212
01/10/2006;90.6869
01/11/2006;92.5922
01/12/2006;103.3658
01/01/2007;112.3854
01/02/2007;112.1298
01/03/2007;99.4689
01/04/2007;91.0450
01/05/2007;92.3001
01/06/2007;101.2636
01/07/2007;107.9356
01/08/2007;114.5031
01/09/2007;101.8592
01/10/2007;93.2820
01/11/2007;94.1475
01/12/2007;107.0407
01/01/2008;115.1667
01/02/2008;108.5191
01/03/2008;100.7094
01/04/2008;91.2095
01/05/2008;91.4432
01/06/2008;104.1756
01/07/2008;111.0800
01/08/2008;107.8943
01/09/2008;98.0097
01/10/2008;91.2396
01/11/2008;94.0320
01/12/2008;109.6582
01/01/2009;117.1039
01/02/2009;104.6583
01/03/2009;98.0042
01/04/2009;88.3216
01/05/2009;87.7292
01/06/2009;97.5534
01/07/2009;104.1672
01/08/2009;106.0048
01/09/2009;95.0943
01/10/2009;89.3813
01/11/2009;89.4578
01/12/2009;110.8781
01/01/2010;119.2479
01/02/2010;110.7531
01/03/2010;98.3435
01/04/2010;86.2616
01/05/2010;90.8463
01/06/2010;104.4778
01/07/2010;113.1387
01/08/2010;113.2550
01/09/2010;100.3369
01/10/2010;89.0647
01/11/2010;92.8335
01/12/2010;114.5353
01/01/2011;119.7459
01/02/2011;107.4949
01/03/2011;99.1833
01/04/2011;89.3555
01/05/2011;90.0892
01/06/2011;102.9264
01/07/2011;114.9321
01/08/2011;113.7652
01/09/2011;99.5831
01/10/2011;90.3256
01/11/2011;93.7509
01/12/2011;107.3344
01/01/2012;111.8394
01/02/2012;103.3476
01/03/2012;93.4091
01/04/2012;87.4575
01/05/2012;92.7737
01/06/2012;101.2472
01/07/2012;113.3880
01/08/2012;110.1665
01/09/2012;96.8990
01/10/2012;90.2566
01/11/2012;94.2046
01/12/2012;105.0109
01/01/2013;115.2199
01/02/2013;106.4386
01/03/2013;102.6576
01/04/2013;90.6033
01/05/2013;90.6912
01/06/2013;100.6560
01/07/2013;110.3545
01/08/2013;108.4241
01/09/2013;99.3492
01/10/2013;91.6786
01/11/2013;97.0034
